,restaurant_id,names,restaurant_type,address,latitude,longitude,num_of_reviews,rating,zip_code
0,nI1UYDCYUTt23TpGxqnLKg,Buddakan,chinese,75 9th Ave,40.7422762672197,-74.0048000961542,4221,4.0,10011
1,bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,chinese,334 W 46th St,40.76015,-73.9893699,1436,4.0,10036
2,A-ert0jDRBfku9ogyW_mEg,Spice Symphony,chinese,150 E 50th St,40.7558937072754,-73.9715347290039,558,4.5,10022
3,xq0cX_DgxiJMXwhmEl9kUA,Café China,chinese,59 W 37th St,40.75157,-73.98584,1718,4.0,10018
4,0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,chinese,46 Bowery St,40.7156608,-73.9967012,6596,4.0,10013
5,XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,chinese,40 W 56th St,40.76292,-73.976546,407,4.5,10019
6,X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1,chinese,79 Chrystie St,40.71735,-73.99457,1700,4.5,10002
7,oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,chinese,409 W 15th St,40.74207,-74.00565,1151,4.5,10011
8,pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao - Chelsea,chinese,461 W 23rd St,40.74769301,-74.00350737,840,4.5,10011
9,EmJ7rfmv2y6lQZxgA8U__g,Red Peony Chinese Cuisine,chinese,24 W 56th St,40.76278,-73.97589,462,4.5,10019
10,0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,chinese,1659 1st Ave,40.77726,-73.94932,497,4.5,10028
11,Va_mnsEvBghHXvc7uZIWJQ,Spice Symphony,chinese,182 Lexington Ave,40.744722,-73.981202,632,4.0,10016
12,BPErPpKSNluwcjbKRgze3w,Xi'an Famous Foods,chinese,328 E 78th St,40.77197,-73.95452,588,4.0,10075
13,H1jops1lmuhrq9lP7lEGJQ,Flor De Mayo,chinese,484 Amsterdam Ave,40.78609,-73.97658,1243,4.0,10024
14,IhSVn0TaX8xXb3wcQ-fgcA,Vanessa's Dumpling House,chinese,118A Eldridge St,40.71839,-73.9917399,2727,4.0,10002
15,uaFHoq-a5XqxF-bsOK9_Qg,Real Kung Fu Little Steamed Buns Ramen,chinese,811 8th Ave,40.7616286634162,-73.98688,1062,3.5,10019
16,lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou Cuisine Restaurant,chinese,295 Grand St,40.7174109,-73.9920876,973,4.5,10002
17,Xf6e3HaP0AgMBxY7dEDkOA,99 Favor Taste - New York,chinese,285 Grand St,40.7176199,-73.99249,1972,4.0,10002
18,R26zweQ8-xoZS7iHkXQOvw,Shanghai 21,chinese,21 Mott St,40.71441,-73.99902,1813,4.0,10013
19,Bb0h5Rs8ugSM2CjulRhfBw,Spicy Moon East Village,chinese,328 E 6th St,40.72674,-73.98722,494,4.5,10003
